year,odometer,manufacturer_id,fuel_id,transmission_id,type_id,age_car,price
2016,70549,0,1,0,2,9,272194.16765683534
2022,142502,0,3,0,2,3,282859.6997170741
2013,138259,6,0,0,4,12,265790.30124736595
2008,90584,7,3,0,3,17,254355.36115410936
2002,132624,6,1,1,1,23,215463.1331432618
2003,213276,1,1,1,2,22,196082.5042375631
2008,188924,3,1,0,2,17,226795.54459179152
2018,267081,2,3,1,0,7,256020.0362554864
2013,196578,2,3,1,2,12,250467.6073601408
2011,132239,0,3,0,4,14,232785.32340263884
1998,32172,1,2,1,1,27,195931.87156791775
1999,57620,4,0,0,3,26,202243.9039702393
2007,80639,4,1,0,3,18,241450.9219187907
2007,264361,5,3,1,0,18,221506.32629665858
2004,255258,1,0,1,5,21,199127.35448137906
2010,254911,5,3,1,5,15,224543.19548190196
2006,264943,4,0,1,1,19,202102.46013924558
2021,34977,2,0,1,3,4,304770.74249083846
2017,81265,4,2,1,3,8,276335.16191212146
2019,123628,4,2,1,3,6,291668.25163975474
2000,136669,2,1,0,5,25,191292.12506252964
2014,240290,0,2,0,0,11,222541.73266960078
2005,275156,5,2,0,4,20,204857.3497757981
2019,71884,3,1,1,5,6,284172.59715521795
2011,197444,6,2,0,3,14,239855.43297041184
2011,169681,2,1,0,0,14,235904.6125429966
2012,200932,5,2,0,3,13,245649.34536648958
2016,144585,6,1,0,0,9,271440.1749495662
2004,151817,4,0,1,3,21,213213.09005239076
2002,214223,2,0,1,1,23,193457.06705595844
2001,180544,6,2,0,4,24,208332.62421540474
2003,99014,7,0,1,3,22,228019.90937176073
2018,173526,7,2,1,5,7,285174.3014136069
2017,121867,7,3,1,1,8,281647.1460260083
2020,287359,6,3,0,0,5,270214.8376190117
2006,157903,7,1,1,5,19,234274.0636808813
2013,264733,1,2,0,5,12,229911.1930011011
2004,130596,2,1,1,1,21,221187.57539330336
2019,29849,4,3,0,1,6,309895.66001491324
2011,22945,0,1,1,3,14,253295.94507786242
2017,245887,5,1,0,5,8,259017.830536463
2007,298042,5,1,1,0,18,208495.05240836286
2020,204241,2,3,0,3,5,271302.54343887646
2014,190332,3,1,0,4,11,256286.36341279763
2007,215211,1,1,0,4,18,205452.38171934203
2009,188892,0,0,1,4,16,216105.335518881
2001,123501,0,2,1,0,24,191345.85842705512
2009,146490,6,3,1,3,16,255286.95423275713
2018,150059,7,0,0,1,7,288252.7213836816
2019,156918,4,2,1,0,6,279872.3955084884
2018,174385,4,3,1,5,7,267422.6619362699
2014,158330,1,1,1,4,11,250951.33754490482
2016,292917,2,3,1,3,9,243954.8593700629
2011,112656,5,3,1,4,14,252389.37264950163
2012,25124,4,3,1,5,13,265723.6088587078
2008,92113,7,0,1,2,17,253897.26423487626
2003,48030,7,1,1,5,22,241823.52814577328
2005,135542,2,3,0,1,20,217767.07471904976
2001,65849,6,2,1,4,24,218684.8986481681
2005,119252,2,1,0,4,20,219736.3679911174
2009,192501,4,2,0,1,16,229921.08054188095
2009,104409,1,1,0,5,16,223899.3183625775
2015,83417,5,3,0,2,10,266851.3833744038
2012,167067,1,1,0,0,13,235390.85559696992
2021,74246,3,1,1,2,4,300079.2077146321
2015,163962,5,2,0,1,10,270235.96452138043
2009,115940,5,1,1,1,16,245241.42630083373
2016,41718,7,3,1,0,9,296029.43527588586
2008,178690,1,0,0,2,17,214827.61856771482
2015,238276,5,1,1,0,10,244870.88892340157
2005,154763,6,0,0,1,20,223335.7077598644
2004,52589,6,2,0,4,21,234481.00227818577
2019,53496,6,3,0,5,6,313489.452182014
2019,250108,5,3,0,5,6,273246.4910235376
2008,100178,3,2,0,1,17,229640.3268537569
2003,239230,2,0,0,2,22,194872.34335418168
2018,38785,2,0,1,1,7,280938.45978149073
2013,55192,1,3,0,2,12,256477.20647958614
2006,185065,1,2,1,3,19,206862.0422434647
1999,148488,3,0,0,3,26,198609.2293306731
2012,216570,2,1,1,5,13,230244.5551320485
2002,92668,5,1,0,3,23,213078.3880923832
2019,265815,5,3,0,2,6,275432.66630268475
2020,189843,1,2,1,3,5,276361.5340606536
2006,176405,6,0,1,3,19,234163.15098421823
2006,100781,5,0,0,4,19,226087.4248177951
2019,259512,3,0,1,1,6,263117.2231978319
2012,258700,6,2,0,2,13,240044.97155458556
2009,105596,1,0,0,1,16,234756.2548678155
2011,161805,1,0,1,2,14,236158.99344466053
2008,225458,3,2,1,0,17,212777.530921167
2012,80118,4,0,0,1,13,263299.6759688955
2014,110283,7,0,1,1,11,271136.37007005943
2021,61284,6,0,0,1,4,305106.5137434887
2022,152782,3,0,1,2,3,290439.0691312627
2003,48381,5,1,1,1,22,233778.45867850335
2013,50649,4,1,0,4,12,276985.7052693301
2009,176224,3,2,0,0,16,228805.0542470408
2021,45490,1,2,1,4,4,299571.0301469978
2022,274419,1,0,0,2,3,261885.26743894778
2006,38596,5,3,1,3,19,244142.19728992743
2020,60184,2,0,0,0,5,292220.27199436835
2016,102877,7,1,0,3,9,302212.6027171582
